Chem_formula,Temp,Cp,H,G,S,L
Al1,298,24.209,0.397784965,0.388397271,0.104038825,0.813363249
Al1,1100,36.722,0.618474989,0.191058414,0.837661602,0.19879134
Al1,1000,34.358,0.37469988,0.415652402,0.281822779,0.642840557
Al1,933.45,32.959,0.752337887,0.487862535,0.169663001,0.676924019
Al1,900,32.308,0.527250346,0.368804548,0.961039641,0.650376178
Al1,800,30.562,0.714001413,0.333921302,0.405215832,0.770391827
Al1,700,29.1,0.950587089,0.323753234,0.207579006,0.26184356
Al1,600,27.886,0.699307221,0.01924486,0.704836311,0.1342195
Al1,500,26.842,0.550156883,0.028297578,0.292129252,0.899978839
Al1,450,26.335,0.430266666,0.289122425,0.193404185,0.759584562
Al1,400,25.784,0.66143342,0.456565991,0.200662313,0.955382229
Al1,350,25.113,0.122972023,0.645089998,0.103447193,0.410636634
Al1,300,24.247,0.946849113,0.089520789,0.067227085,0.641111319
Al1Br3,298,100.578,0.581963377,0.206248684,0.377921559,0.566747518
Al1Br3,1400,124.934,0.580001189,0.553343785,0.048224594,0.192368531
Al1Br3,1300,124.851,0.482007716,0.127525299,0.984377159,0.469014807
Al1Br3,1200,124.767,0.162002734,0.994269796,0.267328555,0.895846804
Al1Br3,1100,124.683,0.786605515,0.470303509,0.20103019,0.789864612
Al1Br3,1000,124.6,0.088525431,0.090436308,0.605602686,0.452459749
Al1Br3,900,124.516,0.706883576,0.515405884,0.279233414,0.378172563
Al1Br3,800,124.432,0.099119424,0.96226641,0.49786937,0.971438098
Al1Br3,700,124.348,0.066121825,0.638131509,0.918143125,0.923300269
Al1Br3,600,124.265,0.209008408,0.019570673,0.993218294,0.204301809
Al1Br3,500,123.846,0.355727461,0.720136991,0.516461763,0.294315524
Al1Br3,400,117.78,0.165332323,0.563087402,0.368312541,0.192314103
Al1Br3,370.6,113.078,0.896412507,0.741998282,0.146290767,0.404853732
Al1Br3,300,100.816,0.33917203,0.243664717,0.580102556,0.77776998
Al1Cl1O1,298,56.902,0.389149885,0.0283183,0.04545396,0.98666046
Al1Cl1O1,2900,83.052,0.875073237,0.145210566,0.531246975,0.813251675
Al1Cl1O1,2800,83.052,0.309372326,0.149891684,0.046244122,0.643470684
Al1Cl1O1,2700,83.052,0.133339801,0.442503887,0.925729979,0.512929532
